id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;birth_date
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-05-21T08:14:47;12617;25834;2020-05-20T23:43:38
2;Jack;Crist;Betsy36@yahoo.com;Tuna;2020-05-21T07:01:03;57012;9385;2020-05-20T22:51:55
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-05-21T05:24:09;90233;71649;2020-05-20T23:52:23
4;Macy;Medhurst;Rosario.Barrows@gmail.com;Isle indigo;2020-05-21T07:58:09;15436;7230;2020-05-20T19:13:57
5;Julio;Senger;Emmanuelle52@yahoo.com;Granite;2020-05-20T21:36:28;94809;56135;2020-05-21T13:54:07
6;Jensen;Kiehn;Brian11@gmail.com;open-source;2020-05-20T17:54:54;18581;73893;2020-05-21T01:15:11
7;Kaela;Kihn;Erwin_Will64@yahoo.com;Decentralized;2020-05-21T02:23:36;54567;95498;2020-05-21T13:06:07
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-05-20T17:52:57;43151;12407;2020-05-21T10:00:45
9;Abelardo;Borer;Louie_Lang24@yahoo.com;Small Concrete Chicken;2020-05-20T20:42:33;69929;43322;2020-05-21T12:59:56
10;Peter;Nienow;Cedrick18@hotmail.com;Forward Shoes;2020-05-21T12:25:09;13308;21874;2020-05-21T11:30:12
